Host_IP,Host_Name,Operating_System,System_Type,Original_Severity,Adjusted_Severity,EOL_Reclassified,Vulnerability_Name,Synopsis,Exploit_Available,EOL_Asset,Asset_Criticality_Tier,Vulnerability_Age,Vuln_Publication_Date,Plugin_Publication_Date,Port,Protocol,Service,Port_Classification,Scan_Date,CIS76_Implementation,External_VM_Risk_Level
198.51.100.24,198.51.100.24,FortiOS on Fortinet FortiGate,Firewall,Medium,Medium,No,SSL Self-Signed Certificate,The SSL certificate chain for this service ends in an unrecognized self-signed certificate.,No,No,CRITICAL,>1 Year,,17/01/2012,444,TCP,SSL/HTTPS (Non-Standard),Insecure,13/01/2026,93.70%,Extremely High
198.51.100.25,198.51.100.25,FortiOS on Fortinet FortiGate,Firewall,Medium,Medium,No,SSL Certificate Signed Using Weak Hashing Algorithm,An SSL certificate in the certificate chain has been signed using a weak hash algorithm.,Yes,No,CRITICAL,>1 Year,18/08/2004,5/01/2009,444,TCP,SSL/HTTPS (Non-Standard),Insecure,13/01/2026,93.70%,Extremely High
203.0.113.10,203.0.113.10,F5 Networks BIG-IP,Load Balancer,Medium,Medium,No,SSL Certificate Cannot Be Trusted,The SSL certificate for this service cannot be trusted.,No,No,MEDIUM,>1 Year,,15/12/2010,443,TCP,HTTPS,Insecure - Misconfigured,13/01/2026,93.70%,Extremely High
203.0.113.11,203.0.113.11,F5 Networks BIG-IP,Load Balancer,Medium,Medium,No,SSL Certificate Cannot Be Trusted,The SSL certificate for this service cannot be trusted.,No,No,MEDIUM,>1 Year,,15/12/2010,443,TCP,HTTPS,Insecure - Misconfigured,13/01/2026,93.70%,Extremely High
203.0.113.12,203.0.113.12,F5 Networks BIG-IP,Load Balancer,Medium,Medium,No,TLS Version 1.1 Deprecated Protocol,The remote service encrypts traffic using an older version of TLS.,No,No,MEDIUM,>1 Year,,4/04/2022,443,TCP,HTTPS,Insecure - Misconfigured,13/01/2026,93.70%,Extremely High
203.0.113.13,203.0.113.13,F5 Networks BIG-IP,Load Balancer,Medium,Medium,No,TLS Version 1.1 Deprecated Protocol,The remote service encrypts traffic using an older version of TLS.,No,No,MEDIUM,>1 Year,,4/04/2022,443,TCP,HTTPS,Insecure - Misconfigured,13/01/2026,93.70%,Extremely High
203.0.113.14,203.0.113.14,CISCO Network Appliance / Wyse ThinOS / CentOS 7 (Core),Unknown,Medium,Critical,Yes,JQuery 1.2 < 3.5.0 Multiple XSS,The remote web server is affected by multiple cross site scripting vulnerability.,Yes,Yes,LOW,>1 Year,29/04/2020,28/05/2020,8080,TCP,HTTP (Unencrypted),Insecure - Unencrypted + EOL,13/01/2026,93.70%,Extremely High
203.0.113.15,203.0.113.15,CISCO Network Appliance / Wyse ThinOS / CentOS 7 (Core),Unknown,Medium,Critical,Yes,JQuery 1.2 < 3.5.0 Multiple XSS,The remote web server is affected by multiple cross site scripting vulnerability.,Yes,Yes,LOW,>1 Year,29/04/2020,28/05/2020,8080,TCP,HTTP (Unencrypted),Insecure - Unencrypted + EOL,13/01/2026,93.70%,Extremely High
203.0.113.20,203.0.113.20,CISCO Network Appliance / Wyse ThinOS / CentOS 7 (Core),Unknown,Medium,Critical,Yes,JQuery 1.2 < 3.5.0 Multiple XSS,The remote web server is affected by multiple cross site scripting vulnerability.,Yes,Yes,LOW,>1 Year,29/04/2020,28/05/2020,8080,TCP,HTTP (Unencrypted),Insecure - Unencrypted + EOL,13/01/2026,93.70%,Extremely High
203.0.113.21,203.0.113.21,CISCO Network Appliance / Wyse ThinOS / CentOS 7 (Core),Unknown,Medium,Critical,Yes,JQuery 1.2 < 3.5.0 Multiple XSS,The remote web server is affected by multiple cross site scripting vulnerability.,Yes,Yes,LOW,>1 Year,29/04/2020,28/05/2020,8080,TCP,HTTP (Unencrypted),Insecure - Unencrypted + EOL,13/01/2026,93.70%,Extremely High
192.168.1.10,192.168.1.10,Microsoft Windows,General-Purpose,Medium,Medium,No,SSL Self-Signed Certificate,The SSL certificate chain for this service ends in an unrecognized self-signed certificate.,No,No,MEDIUM,>1 Year,,17/01/2012,443,TCP,HTTPS,Insecure - Misconfigured,13/01/2026,93.70%,Extremely High
192.168.1.11,192.168.1.11,Microsoft Windows,General-Purpose,Medium,Medium,No,TLS Version 1.0 Protocol Detection,The remote service encrypts traffic using an older version of TLS.,No,No,MEDIUM,>1 Year,,22/11/2017,443,TCP,HTTPS,Insecure - Misconfigured,13/01/2026,93.70%,Extremely High
192.168.1.12,192.168.1.12,Microsoft Windows,General-Purpose,Medium,Medium,No,SSL Self-Signed Certificate,The SSL certificate chain for this service ends in an unrecognized self-signed certificate.,No,No,MEDIUM,>1 Year,,17/01/2012,443,TCP,HTTPS,Insecure - Misconfigured,13/01/2026,93.70%,Extremely High
192.168.1.13,192.168.1.13,Microsoft Windows,General-Purpose,Medium,Medium,No,TLS Version 1.1 Deprecated Protocol,The remote service encrypts traffic using an older version of TLS.,No,No,MEDIUM,>1 Year,,4/04/2022,4446,TCP,HTTPS (Non-Standard),Insecure - Misconfigured,13/01/2026,93.70%,Extremely High
192.168.1.14,192.168.1.14,Microsoft Windows,General-Purpose,Medium,Medium,No,TLS Version 1.0 Protocol Detection,The remote service encrypts traffic using an older version of TLS.,No,No,MEDIUM,>1 Year,,22/11/2017,3400,TCP,HTTPS (Non-Standard),Insecure - Misconfigured,13/01/2026,93.70%,Extremely High
192.168.1.15,192.168.1.15,Microsoft Windows,General-Purpose,Medium,Medium,No,TLS Version 1.1 Deprecated Protocol,The remote service encrypts traffic using an older version of TLS.,No,No,MEDIUM,>1 Year,,4/04/2022,443,TCP,HTTPS,Insecure - Misconfigured,13/01/2026,93.70%,Extremely High
192.168.1.16,192.168.1.16,Microsoft Windows,General-Purpose,Medium,Medium,No,SSL RC4 Cipher Suites Supported (Bar Mitzvah),The remote service supports the use of the RC4 cipher.,No,No,MEDIUM,>1 Year,12/03/2013,5/04/2013,443,TCP,HTTPS,Insecure - Misconfigured,13/01/2026,93.70%,Extremely High
192.168.1.17,192.168.1.17,Microsoft Windows,General-Purpose,Medium,Medium,No,SSL Certificate Signed Using Weak Hashing Algorithm,An SSL certificate in the certificate chain has been signed using a weak hash algorithm.,Yes,No,MEDIUM,>1 Year,18/08/2004,5/01/2009,443,TCP,HTTPS,Insecure - Misconfigured,13/01/2026,93.70%,Extremely High
192.168.1.18,192.168.1.18,Microsoft Windows,General-Purpose,Medium,Medium,No,SSL Certificate Cannot Be Trusted,The SSL certificate for this service cannot be trusted.,No,No,MEDIUM,>1 Year,,15/12/2010,443,TCP,HTTPS,Insecure - Misconfigured,13/01/2026,93.70%,Extremely High
192.168.1.19,192.168.1.19,Microsoft Windows,General-Purpose,Medium,Medium,No,SSL Certificate Cannot Be Trusted,The SSL certificate for this service cannot be trusted.,No,No,MEDIUM,>1 Year,,15/12/2010,443,TCP,HTTPS,Insecure - Misconfigured,13/01/2026,93.70%,Extremely High
